,고객질문(요청),상담사답변
3469,2차 감염을 막기 위함인가요?,"완벽하게는, 검증된 것이 없어요."
3470,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,마스크 정보는 질병관리청 홈페이지에 접속하시면 확인하실 수 있어요.
3471,어떤 의미에서 복잡한거죠?,정리된 파일 자료는 미제공 하고 있어요.
3472,예를 들어주실 수 있나요?,개인별로 해결해야 해요.
3473,안녕하세요. 무엇을 도와드릴까요?,아니요. 자가격리에 들어가시게 되면 2주치 생필품을 국가에서 전달해드립니다.
3474,"안녕하세요, 코로나에 대해 칼람을 쓰려고 하는데 뭣좀 여쭤봐도 될까요?","먼저, 신속하게 병원으로 보내야 합니다."
3475,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,빨리 보건소에 가셔서코로나 진단 검사를 받아서 확인해야 해요.
3476,둘 다 알려주실 수 있나요?,어려운 시대에 잘 버텨주어서 감사합니다.
3477,왜 바로 폐기하나요?,코로나 관련 약은 개발되지 않았어요.
3478,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,허위 판매에요. 구매하시면 안되요.
3479,어떤 의미에서 복잡한거죠?,끝으로 질병관리청 OOO입니다.
3480,대충이라도 말해주시면 감사하겠습니다.,해당 지역은 여행목적으로는 방문이 가능합니다.
3481,마스크때문에 헷갈리는게 있는데요?,출극 및 입국 금지 공지를 받은적이 없습니다.
3482,마스크 안쓰면 과태료 내는거 시작한거 아닌가요?,"교점으로, 폐와 관련이 있다는 공통점이 있습니다."
3483,계도기간이 뭔가요?,"정확하게는, 검증 된 연구가 없습니다."
3484,그러니까 지금은 홍보하는 기간이라고 보면 되는거죠?,코로나 치료 약은 현재 개발되지 않았습니다.
3485,아직은 안쓴 사람 봐도 신고해봐야 소용 없는거구요?,위법 판매 입니다. 구매하시면 안됩니다.
3486,11월13일부터는 신고하면 과태료 내야되는 거구요?,"유익한 시간 되셨길 바라며, 상담원 OOO이에요."
3487,과태료가 얼마지요?,말씀하신 지역은 해당 목적으로 여행이 가능해요.
3488,마스크 쓰긴 썼는데 대충 턱에 걸치고 있는것도 신고 됩니까?,원칙상으로는 괜찮아요.
3489,마스크착용의무화 시작하잖아요?,"함께, 폐라는 것이 있습니다."
3490,의무화 해야하는 장소가 따로 정해져 있는거에요? 아니면 어디서든 무조건 써야되는거에요?,"완벽하게, 검증 된 연구가 없다고 알고 있습니다."
3491,집에서도 써야되나요?,코로나 치료 약은 아직 개발된 것이 없습니다.
3492,일상적 사생활이 집이에요,거짓 판매입니다. 구매하시면 안됩니다.
3493,차안에서는 어떻게 해요?,끝으로 질병관리청 OOO이에요.
3494,엄마아빠 차에서는요?,말씀해주신 국가는 해당 목적으로 여행이 가능해요.
3495,그러면 엄마차에 친구랑 같이 타면 써야되는거구요?,규칙상으로 문제되는 것은 없습니다.
3496,과외할때는요?,"공통으로, 폐라는 공통점이 있습니다."
3497,과외하다가 간식 먹을 땐 잠깐 벗어도 되죠?,검증된 것이 없어요.
3498,코로나 안걸리려면 어떻게 해야되나요?,그 내용은 질병관리청 홈페이지에 들어가시면 있습니다.
3499,그런게 있어요?,정리되어 있는 파일은 제공하고 있지 않아요.
3500,좁은공간에선 무조건 마스크 써야되는군요,개인이 해결해야 해요.
3501,눈으로도 코로나 바이러스가 전염될수 있나요?,"아, 자가격리에 들어가시게 되면 2주치 생필품을 국가에서 지원해드려요."
3502,마스크 쓰는데도요?,"우선, 증상이 심하시면 병원으로 보내시고, 안심하시면 집으로 보내야 해요."
3503,환기도 중요하군요?,가까운 보건소에 가셔서코로나 진단 검사를 받아야 해요.
3504,마스크는 어떤걸 써야해요?,국가에서는 최대한의 자원을 활용하여 코로나를 방어하고 있습니다. 
3505,kf94마스크를 써야하는건가요?,그 정보는 질병관리청 홈페이지에 있습니다.
3506,비말차단용마스크만으로도 괜찮을까요?,정보 파일은 제공하지 않고 있습니다.
3507,앞으로 마스크를 안쓰면 과태료를 문다던데요.,개별적으로 알아서 해결해야 합니다.
3508,언제부터 시행되나요?,"아, 자가격리에 들어가시면 기본적으로 2주치 물품을 전달합니다."
3509,일회용마스크나 면마스크를 써도 되나요?,"일단, 신속하게 병원으로 보내야 합니다."
3510,그럼 아무 마스크나 써도 된다는 거예요?,빨리 보건소로 가셔서코로나 진단을 받아서 이상여부를 확인해야 합니다.
3511,깜빡하고 안가져나왔을때는 어떻게 해야해요? 그냥 손수건같은거 둘러도 돼요?,국가에서 최선을 다해서 코로나를 저지하고 있습니다.
3512,편의점에서 마스크 쉽게 살수 있어요?,그것과 관련된 정보는 질병관리청 홈페이지에 들어가시면 있습니다.
3513,"트럼프대통령이 병원입원한지 3일만에 퇴원했다던데, 코로나가 그렇게 빨리 치료되기도 해요?",정리된 정보 파일은 미제공 하고 있습니다.
3514,렘데시비르가 효과가 좋아서 빨리 나은걸까요?,개인이 알아서 해결해야 해요.
3515,렘데시비르는 어떤약이예요?,"아하, 자가격리에 들어가시게 되면 기본적으로 2주치 물품을 국가에서 전달합니다."
3516,복용약이예요?,"먼저, 증상이 심하시면 병원으로 보내시고, 안심하시면 집으로 보내야 해요."
3517,우리나라에서는 사용이 안되나요?,가까운 보건소에 가셔서코로나 진단 검사를 받아서 확인해야 해요.
3518,우리나라 코로나환자 중에도 투약받은 사람이 있어요?,정부에서는 최선을 다하고 있습니다.
3519,모든 확진자에게 사용이 되나요?,코로나 치료 약은 아직 개발된 것이 없어요.
3520,그럼요?,거짓 판매에요. 구매하시면 불이익이 발생할 수 있습니다.
3521,렘데시비르는 어느나라에서 개발된건가요 ,질병관리청 상담원 OOO이었습니다.
3522, 일회용마스크를 2-3번사용가능할까요?,위 지역은 여행이 가능합니다.
3523,kf마스크랑 덴탈마스크 차이가 있나요?,출국 또는 입국을 금지하고 있지 않아요.
3524,순서를 알려주세요,"서로, 폐가 나빠지는다는 것이 있습니다."
3525,마스크 kf는 무슨말인가요?,"완벽하게는, 증명된 연구가 없다고 알려져있습니다."
3526,kf마크는 식약처가 인증한건가요?,코로나 관련 약은 아직 개발되지 않았어요.
3527,kf 뒤의 숫자는 무엇인가요?,위법 판매에요. 구매하시면 불이익이 발생할 수 있어요.
3528,보건용 마스크여부를 확인방법이 있나요?,질병관리청 OOO입니다.
3529, 마스크는 용도와 차단기능이 어떻게 나누어지나요?,말씀해주신 국가는 여행목적으로는 여행이 가능해요.
3530,kf 80은 얼마나 호흡기를 보호해주나요?,입국 또는 출국 금지에 대한 법이 없어요.
3531,"kf 94, kf99 는 어느정도인가요?","함께, 폐와 관련이 있습니다."
3532,N95는 KF94 와 성능이 다른가요?,증명된 것이 없다고 알려져 있어요.
3533,차단숫자가 높을수록 좋은건가요?,코로나 치료 약은 현재 개발된 것이 없습니다.
3534,마스크는 어떻게 써야 될까요?,불법 판매입니다. 구매 하시는 것을 반대해요.
3535,마스크안에 수건 덧대어 사용해될까요?,"네, 질병관리청 상담원 OOO입니다."
3536,세탁해서 써도 괜찮을까요?,위 지역은 해당 목적으로 여행이 가능합니다.
3537,마스크착용후 겉면을 만져도 될까요?,출극 및 입국 금지 공지를 받은적이 없습니다.
3538,병원이나 밀폐된공간에 먾은사람과 접촉해야된다면 어떤마스크를 쓰는게 좋을까요?,"공통으로, 폐라는 공통점이 있습니다."
3539,사용하던 마스크를 주머니넣거나 책상에 올려도 되나요?,"완벽하게, 검증 된 연구가 없다고 알려져있습니다."
3540,마스크종류의 성능 미세입자차단순서를 알려주세요,코로나 치료 약은 개발되지 않았습니다.
3541,호흡용이성 순서는 어떻게 되나요?,거짓 판매에요. 구매 하시는 것을 반대합니다.
3542,마스크버릴때 어떻게 분류해서 해야하나요?,"좋은 시간 되셨기를 바라며, 질병관리청 OOO입니다."
3543,"마스크보관했던 파우치,비닐류는 어떻게 분류하나요?",위 지역은 방문이 가능합니다.
3544,사용후 버리는법이 따로 있나요?,원칙상으로는 괜찮아요.
3545,끈을 잘라 폐기할수상황이라면 어떻게 하나요?,폐와 연관되어 있습니다.
3546,면마스크 사용할수 있나요?,"완벽하게는, 검증된 것이 없습니다."
3547,세탁해서 사용해도 괜찮을까요?,코로나 치료 약은 현재 개발된 것이 없습니다.
3548,일반세재로 세탁해도 되나요?,허위 판매입니다. 구매하시면 불이익이 발생할 수 있습니다.
3549,중성세제가 없을때는 어떻게 하나요?,"좋은 시간 되셨기를 바라며, 상담원 OOO이에요."
3550,비누세탁해도 될까요?,해당 국가는 여행목적으로는 방문이 가능해요.
3551,얇은것과 두꺼운것중에 비말차단효과는 어떤게 좋나요?,입국 또는 출국 금지에 대한 법이 없습니다.
3552,마스크 착용이 의무화인가요?,"서로, 폐라는 공통점이 있습니다."
3553,언제부터시행하나요?,"정확하게는, 증명된 연구가 없어요."
3554,계도기간이 있나요?,코로나 관련 약은 아직 개발되지 않았어요.
3555,의무적으로 마스크착용해댜되는곳이 있나요?,위법 판매 입니다. 구매하시면 불이익이 발생할 수 있어요.
3556,마스크미착용 과태료부과 언제부터 시행하나요?,끝으로 질병관리청 상담원 OOO입니다.
3557,과태료는 얼마인가요?,말씀하신 국가는 방문이 가능해요.
3558,마스크를 턱에 걸쳐서 써도 되나요?,규칙상으로 문제되는 것은 없습니다.
3559,사용할수 없는 마스크는 어떤종류가 있나요?,폐와 관련이 있습니다.
3560,밸브형마스크는 왜 안되나요?,"정확하게는, 검증 된 연구가 없다고 알려져 있어요."
3561,나노필터마스크는 어떤가요?,코로나 치료 약은 아직 개발된 것이 없어요.
3562,병원이나 요양시설에고 마스크착용하지 않을경우 어떻게 되나요?,허위 판매에요. 구매하시면 안되요.
3563,스카프나 옷가지로 얼굴을 가릴때도 해당되나요?,감사합니다. 질병관리청 OOO입니다.
3564,유치원생인데요 마스크 미착용시 어떻게 되나요?,위 지역은 여행목적으로는 여행이 가능해요.
3565,마스크쓰기어렵거나 쓸수 없는사람은 어떻게 되나요?,입국 또는 출국 금지에 대한 법이 없습니다.
3566,제외해당되는 사람은 누구인가요?,"공통으로, 폐에 영향을 준다는 것이 있습니다."
3567,마스크착용이 어렵다는 의사소견을 받은사람은 어떻게 되나요?,"완벽하게는, 판명된 것이 없다고 알고 있습니다."
3568,면제받을수 있나요?,그것은 질병관리청 홈페이지에 접속하셔서 상세 메뉴에 들어가시면 있어요.
3569,과태료부과 통보를 받았을경우는 어떻게 하나요?,양식이 있는 정보 파일은 없습니다.
3570,단속은 누가하나요?,개인이 알아서 해결해야 해요.
3571,어떤식으로 단속하나요?,"아하, 자가격리에 돌입하시면 2주치 생필품을 전달해드립니다."
3572,코로나바이러스19 어떤 질병인가요?,"일단, 병원으로 보내야 합니다."
3573,우리가 알고 있는 호흡기질병하고 다른건가요?,근처 보건소에 가셔서코로나 진단을 받아서 이상여부를 확인해야 해요.
3574,감염되면 어떻게 되나요?,정부에서는 최대한의 자원을 활용하여 코로나를 방어하고 있습니다. 
3575,무증상이 나타난다고 하는데 증상이 없는걸 말하나요?,코로나 관련 약은 개발되지 않았습니다.
