q,a
어제 감기몸살 같은 기운이 나기는 했어요. 열나고 기침하고 몸에 힘이 없고.,빠르게 근처 보건소에 가보시는 것을 추천 드립니다. 코로나 검사를 받아 보셔야 합니다. 
코로나 진단 검사를 받아보라구요? 아니에요 나는 멀쩡해요. 괜찮아 진 것 같기도 합니다.,어쩔 수 없습니다. 선생님 꼭 검사를 받아보셔야 합니다. 
먼가 말씀을 들으니 용기가 나는 것 같기도 하고요. 한번 가볼께요. 보건소,상담원 OOO 이었습니다. 선생님의 용기가 세상을 바꿉니다.
안녕하십니까. OO대학의 학생입니다. 궁금한 것이 있어서 연락했어요.,무슨 문의가 있어서 질병관리청에 연락을 주시게 되었습니까?
질병관리청에서 공식적으로 제공하는 코로나 확진자 수를 알고 싶습니다. ,오늘 집계된 금일 총 확진자 수는 387명이 발생했습니다.
저는 실시간 확진자 수를 말하는 겁니다. 어제 나온 숫자 말구요.,원하시는 정보가 없습니다. 왜냐하면 질병관리청에서는 실시간 신규 확진자 수를 제공하고 있지 않기 때문입니다.
인터넷 보다 질병관리청이 못한거 아니에요? 인터넷 사이트가면 다 나오는데요?,공식적으로 실시간 신규 확진자 수를 제공하고 있다는 정보는 들은 적이 없습니다.
대중 매체가 정확하지 않은 정보를 제공하고 있었네요?,맞습니다. 
믿을 세상이 못되는 구만. 그럼 실시간 정보는 모두 것짓 이라고 보는 것이 맞겠네요?,확률상 거짓 정보일 확률이 높습니다.
"정보는 정확도가 생명인데, 무슨 정보를 얻어야지 정확한 정보를 얻을 수 있을까요?",정확한 정보를 얻고 싶으시다면 질병관리청 홈페이지를 참고해서 하시면 될 것 같습니다.
조금 다른 질문 인데요. 흡연자가 코로나에 걸릴 확률이 높나요?,흡연보다는 사전에 예방하는 것이 코로나 감염병에 걸리 않는 것으로 알고 있습니다.
매우 정확한 정보 네요. 감사합니다.,질문이 더 없으십니까?
아닙니다. 없습니다. ,질병관리청 상담원 이었습니다.언제나 국민과 함께하는 질병관리청이 되겠습니다. 감사합니다.
코로나 백신이 나왔다고 하던요?,코로나 감염병 관련해서 백신 나왔다는 질문 맞으십니까?
정확 한데요. 맞습니다. ,현재 각 국가에서 코로나 백신을 개발했다고 알고 있습니다.
이제 코로나 팬데믹이 종료 되는 건가요?,코로나 시대는 아직 끝나지 않았습니다. 백신이 개발 되었음에도 불구하고.
왜 그런거죠?,코로나 백신의 완치율이 90%가 안되고 보급률이 떨어지기 때문입니다. 
잘 알아 먹지 못하겠는데요. 요약하면 이말이죠? 코로나가 끝난 것이 아니다.,"안탁까운 말씀이지만, 코로나는 아직 종식되지 않았습니다."
마스크 좀 안쓰고 다녔으면 했는데 안되겠습니다. 그럼 계속 마스크 쓰고 다녀야 하지요?,아직 까지는 타인과의 접촉을 자제하시고 마스크를 쓰셔야 할 것 같습니다.
"오 마이 갓, 이러한 지옥이 언제까지 이어 질 것 같나요?",죄송합니다. 정확하게 말씀드릴 수 없습니다. 왜냐하면 언제 끝날지 모르기 때문입니다.
"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",그것 또한 아직까지 말씀 드릴 수 없습니다.
"우리나라는 백신도 못얻고, 개발도 못하고, 현상태 유지만 하고 있고 뭐하는 것이죠?",대한민국은 코로나 종식 및 국민의 일상 생활로 돌아갈 수 있도록 노력하고 있습니다.
맞죠. 그렇죠. 우리나라 좋은 나라죠. 제가 너무 머라고 많이 한 것 같네요. 죄송합니다.,아닙니다. 고객님 이만 통화를 종료하도록 하겠습니다.
천 마스크를 써도 되나요?,KF80 이상을 추천드립니다.
여러 번 써도 될까요?,마스크는 1회 사용을 권고합니다.
잠깐 사용한 경우도 버려야 하나요?,오염 우려가 적은 곳에서 일시적으로 사용한 경우 재사용할 수 있습니다.
소독제 뿌린 후 사용해도 되나요?,소독제 사용 시 흡입 위험이 있습니다.
다른 소독 방법을 사용해도 되나요?,정전기 필터 성능이 떨어지므로 권하지 않습니다.
집안에서도 마스크 착용을 해야 하나요?,집안에서는 마스크를 착용하지 않아도 됩니다.
증상이 있을 경우에는요?,유 증상자가 있을 경우에는 집안에서도 착용을 권고합니다.
야외에서는 꼭 마스크 착용을 해야 하나요?,혼잡하지 않은 야외에서는 잠시 벗을 수 있으나 착용을 권고합니다.
마스크는 어떻게 버리나요?,끈을 자른 후 종량제 봉투에 배출하면 됩니다.
덴탈 마스크도 사용 가능한가요?,식약처가 허가한 비말차단마스크 사용을 권고드립니다.
숨쉬기가 곤란한데 꼭 KF 마스크를 써야 하나요?,덴탈마스크도 착용 가능합니다.
덴탈 마스크 위아래 구분이 있나요?,철심 부분이 위로 가게 착용하시면 됩니다.
코 부분은 꼭 눌러서 써야 하나요?,비말 감염이 있을 수 있기 때문에 밀착해서 써야합니다.
안과 겉은 어떻게 구별해야 하나요? 헷갈려요,위아래로 당겼을때 주름이 아래로 향하는 면이 밖으로 오도록 써야 합니다.
반대로 쓰면 안 되는 건가요?,반대로 썼을 경우 움푹 패이는 경우가 있어 비말이나 먼지가 쌓일 수 잇습니다.
중국산을 써도 되나요?,차단 효과가 입증된 제품 사용을 권장 드립니다.
국산 덴탈 마스크는 다 인증 된 제품인가요?,그렇지 않습니다. 식약처 인증 제품은 의약외품입니다.
KC 인증과 동일 한건가요?,KC 인증은 공산품에 대한 것이고 바이러스 차단 효과와는 관련 없습니다.
그럼 쓰면 안 되는건가요? 많이 사다 놨는데..,식약처 인증 된 제품 사용을 권장 드립니다.
야외에서 사용하면 안 되나요?,사람이 많지 않은 야외에서는 사용 가능 할 것 같습니다.
안녕하세요~시골에 부모님이 계시는데요,네 안녕하세요
밖에 나갈떄도 마스크를 잘 안 쓰세요..,마스크는 되도록 착용하셔야 합니다.
시골은 사람도 많이 없는데 꼭 써야되나요?,네.. 사람간 감염이 잘되기 떄문에 쓰시는게 좋지요..
젊은이들보다 노인들이 걸리면 더 위험하죠?,네. .맞습니다.
말씀을 드려도 알겠다고만 하시고 안 쓰세요..,코로나가 노인층에서 특히 위험하고요 합병증 및 사망률도 높은 편이에요.
노인층에서 사망률은 어떻게 되죠?,잠시만요.
네.,"자료에 따르면 국내 사망자 통계는 60대 19%, 70대 35%, 80대 이상 37%입니다."
그렇게 차이가 많이 나나요?,네.. 그렇습니다.
"코로나 확진자 결과 같은거 정부가 조작하고 있다는데, 그럴까요?",현재 잘못된 정보로 혼란을 겪지 마시기 바랍니다.
못믿겠는데요….,정부는 병원일에는 개입하지 않습니다. 
그럼 그 검사 한거 막 빼돌리고 그러는거 아니예요?,아닙니다. 검사를 하시는 분들은 따로 있습니다. 
그럼 그 사람이 뭘 묻히면 어떡해요?,오로지 코로나 검사목적으로만 검사를 진행합니다. 
그 검사장치를 미리 어떻게 하는거 아니고요?,검사장치는 사전 조작이 어렵습니다. 
아..그렇군요,다른 궁금하신 점 있으신가요?
거리두기 3단계해요? 언제 해요?,아직 논의 하고 있습니다. 
시작하면 그럼 장사하는 사람들은 문 다 닫는 건가요?,포장만 가능합니다. 
안에서 못먹어요? 왜요?,네~ 그렇다고 볼 수 있습니다. 
비말차단 마스크 어디가면 살 수 있어요?,가까운 약국에서 구매하실 수 있습니다. 
대량 구매 가능합니까?,현재 물량이 부족해서 대량구매는 불가능합니다. 
그럼 최대 몇개나 살 수 있습니까?,최대 3개까지 구매가능하십니다. 
하루에 3개입니까?,주 1회만 구입 가능하십니다. 
그럼 3개를 일주일동안 돌려씁니까?,네 최대 5일까지 착용가능하십니다. 
화장때문에 더러워지는데 더 구매할 수 없습니까?,네 없습니다. 
저가 샀는지 이력이 남습니까?,네 전산으로 확인가능합니다. 
마스크는 얼마입니까?,"개당 1,500원입니다. "
할인됩니까?,네 안됩니다.
"선생님 안녕하세요, 마스크 구하는게 너무 힘드네요",가까운 약국이나 편의점에서 구매 가능하십니다. 
저번에 약국갔는데 없던데 재고 미리 알수 있나요?,전화 해보시고 방문해주세요
다른방법은 없나요?,네이버 어플에서 약국이라고 검색하시면 재고 확인하실 수 있습니다. 
그래요?,네.
카카오지도도 됩니까?,네 안됩니다. 
마스크 8부제는 폐지됐나요?,네 폐지되었습니다. 
언제요?,6월부터 폐지되었습니다. 
지금 나오는 마스크는 비말차단인가요?,조금 얇게 나오는 제품도 있어서 구매하실때 확인하시고 구매하시면 되세요. 
"아, 알겠어요",감사합니다. 
"코로나 확진자 결과 같은거 정부가 조작하고 있다는데, 그럴까요?",현재 잘못된 정보로 혼란을 겪지 마시기 바랍니다.
못믿겠는데요….,정부는 병원일에는 개입하지 않습니다. 
그럼 그 검사 한거 막 빼돌리고 그러는거 아니예요?,아닙니다. 검사를 하시는 분들은 따로 있습니다. 
그럼 그 사람이 뭘 묻히면 어떡해요?,오로지 코로나 검사목적으로만 검사를 진행합니다. 
그 검사장치를 미리 어떻게 하는거 아니고요?,검사장치는 사전 조작이 어렵습니다. 
아..그렇군요,다른 궁금하신 점 있으신가요?
거리두기 3단계해요? 언제 해요?,아직 논의 하고 있습니다. 
시작하면 그럼 장사하는 사람들은 문 다 닫는 건가요?,포장만 가능합니다. 
안에서 못먹어요? 왜요?,네~ 그렇다고 볼 수 있습니다. 
마스크 착용 안하면 안되나요?,마스크 착용 의무화 행정명령이 내려진 상황이라 꼭 착용하셔야 합니다.
마스크 효과가 있기는 한건가요?,"네, 마스크 착용 시 감염 위험이 85% 감소 되는 것으로 보고 되고 있습니다. "
실제 사례가 있는 건가요?,"승용차 안에서 확진자와 1시간 동승했으나 마스크를 사용해서 전원 음성이 나온 경우가 있고, 확진자가 28명 발생했던 카페의 종사자 4명이 마스크로 인해서 전원 음성이 나왔습니다."
어디서 꼭 착용해야 하는 건가요?,"실내 기준으로는 버스, 지하철, 선박, 항공기등의 운송수단, 건축물 및 사방이 분리되어 있는 모든 구조물안에서 마스크를 써야 합니다."
실외 기준도 있나요?,"집합, 모임, 행사 등 다중이 모여 사람과 접촉하는 경우에 써야 합니다."
그러면 마스크 벗지도 못하고 항상 쓰고 있어야 하는 것 아닌가요?,일상적 사생활이나 음식물 섭취등 불가피한경우에는 예외를 두고 있습니다.
일상적 사생활은 뭔가요?,"집에 있을 때, 혼자 있을 떄, 가족들과 함께 있을 때를 의미합니다. "
그러면 자동차내에서 가족 아닌 사람들과 함께 있으면 어떻게 해야 하나요?,주거를 같이 하는 사람이 아닌 사람과 같이 승차하고 있을 경우 마스크를 써야 합니다. 
불가피한 경우는 어떤 경우 인가요?,"마스크 착용시 호흡 곤란 및 건강 악화 우려가 있는 경우, 공무 수행, 생계 유지, 수영, 물놀이 중일 경우 등입니다."
코로나 증상이 있어도 예외 상황이면 안써도 되나요?,"발열, 호흡기 증상이 있을 경우, 예외 상황이라도 반드시 써야 합니다. "
워터 파크나 계곡에서도 마스크 써야 하나요?,"사회적 거리두기 2단계에서는 워터파크, 계곡 출입의 자제를 권고하고 있습니다. 물속에서 하는 활동의 경우에는 마스크 예외를 인정하고 있습니다."
담배 피려고 마스크를 벗어도 되나요?,"담배의 경우 기호식품으로 분류, 음식물 섭취에 해당하여 예외를 인정하고 있습니다. "
"등산, 산책, 야외 운동시에는 어떤가요?","야외 활동시 다른 사람과 2m 거리 두기가 가능할 경우는 안써도 됩니다만, 그렇지 못할 경우에는 써야 합니다."
사무실 내에서 업무 중에도 마스크를 써야 하나요?,"분할된 공간 내 혼자 있거나, 음식물 섭취, 보건, 위생활동등의 예외 상황이 아니라면 써야 합니다."
